#,License Plate,Created At,Pickup Date,Return Date,Total Days,Odometer at Pickup,Odometer at Return
32346,a18320,12/31/2021 ,02/21/2022 ,02/21/2022 ,0,3969.0,4014.0
32347,A17841,12/31/2021 ,01/15/2022 ,01/23/2022 ,8,3261.0,3262.0
32350,A15915,12/31/2021 ,01/01/2022 ,01/01/2022 ,0,11910.0,11940.0
32351,A19027,12/31/2021 ,01/01/2022 ,01/01/2022 ,0,11925.0,11945.0
32352,A19423,12/31/2021 ,01/01/2022 ,01/01/2022 ,0,5032.0,5089.0
32353,a15291,12/31/2021 ,01/01/2022 ,01/01/2022 ,0,5423.0,5453.0
32354,A20132,12/31/2021 ,12/31/2021 ,01/05/2022 ,5,103.0,411.0
32355,A18127,12/31/2021 ,12/31/2021 ,01/05/2022 ,5,2893.0,3051.0
32356,A18148,12/31/2021 ,01/12/2022 ,01/12/2022 ,0,6598.0,6604.0
32360,A17404,12/31/2021 ,01/19/2022 ,01/20/2022 ,1,2671.0,2735.0
32361,A17397,12/31/2021 ,01/19/2022 ,01/20/2022 ,1,4699.0,4761.0
32362,A07215,12/31/2021 ,01/01/2022 ,01/01/2022 ,0,26711.0,26730.0
32364,a18320,12/31/2021 ,01/01/2022 ,01/01/2022 ,0,2417.0,2466.0
32366,D 56956,01/01/2022 ,01/01/2022 ,01/01/2022 ,0,0.0,0.0
32367,A18520,01/01/2022 ,01/01/2022 ,01/01/2022 ,0,1622.0,1622.0
32368,A20131,01/01/2022 ,01/01/2022 ,01/01/2022 ,0,260.0,260.0
32369,a09297,01/01/2022 ,01/01/2022 ,01/01/2022 ,0,18884.0,18884.0
32370,a17493,01/01/2022 ,01/01/2022 ,01/01/2022 ,0,4477.0,4505.0
32371,A17015,01/01/2022 ,01/01/2022 ,01/01/2022 ,0,7476.0,7498.0
32372,a11004,01/01/2022 ,01/02/2022 ,01/02/2022 ,0,24148.0,24149.0
32373,A18447,01/01/2022 ,01/01/2022 ,01/01/2022 ,0,1829.0,1832.0
32375,a11004,01/01/2022 ,01/01/2022 ,01/01/2022 ,0,24148.0,24148.0
32378,A17403,01/01/2022 ,01/01/2022 ,01/01/2022 ,0,3087.0,3087.0
32379,A17836,01/01/2022 ,01/01/2022 ,01/01/2022 ,0,1475.0,1495.0
32380,A17402,01/01/2022 ,01/01/2022 ,01/01/2022 ,0,2580.0,2600.0
32381,a11001,01/01/2022 ,01/02/2022 ,01/02/2022 ,0,16822.0,16823.0
32386,a05891,01/01/2022 ,01/02/2022 ,01/02/2022 ,0,27322.0,27323.0
32387,a09297,01/01/2022 ,01/02/2022 ,01/02/2022 ,0,18884.0,18885.0
32388,A09296,01/01/2022 ,01/02/2022 ,01/02/2022 ,0,18927.0,18928.0
32389,a05893,01/01/2022 ,01/02/2022 ,01/02/2022 ,0,26940.0,26941.0
32390,A07215,01/01/2022 ,01/02/2022 ,01/02/2022 ,0,26730.0,26769.0
32391,a08263,01/01/2022 ,01/02/2022 ,01/02/2022 ,0,25074.0,25076.0
32395,A17842,01/02/2022 ,01/08/2022 ,01/08/2022 ,0,21615.0,21627.0
32396,a15291,01/02/2022 ,01/08/2022 ,01/08/2022 ,0,5582.0,5596.0
32397,A19400,01/02/2022 ,01/08/2022 ,01/08/2022 ,0,7650.0,7664.0
32398,A19110,01/02/2022 ,01/08/2022 ,01/08/2022 ,0,9037.0,9059.0
32399,A19109,01/02/2022 ,01/08/2022 ,01/08/2022 ,0,9320.0,9348.0
32400,A19417,01/02/2022 ,01/08/2022 ,01/08/2022 ,0,7175.0,7186.0
32401,D 56956,01/02/2022 ,01/10/2022 ,01/10/2022 ,0,0.0,0.0
32402,d61628,01/02/2022 ,01/10/2022 ,01/10/2022 ,0,0.0,0.0
32403,d73951,01/02/2022 ,01/10/2022 ,01/10/2022 ,0,0.0,0.0
32404,D 56951,01/02/2022 ,01/10/2022 ,01/10/2022 ,0,0.0,0.0
32405,D78008,01/02/2022 ,01/10/2022 ,01/10/2022 ,0,0.0,0.0
32406,D78006,01/02/2022 ,01/10/2022 ,01/10/2022 ,0,0.0,0.0
32407,D78009,01/02/2022 ,01/10/2022 ,01/10/2022 ,0,0.0,0.0
32408,d51805,01/02/2022 ,01/02/2022 ,01/02/2022 ,0,0.0,0.0
32409,D 56951,01/02/2022 ,01/02/2022 ,01/02/2022 ,0,0.0,0.0
32410,A18234,01/02/2022 ,01/02/2022 ,01/02/2022 ,0,10820.0,10869.0
32411,A15915,01/02/2022 ,01/02/2022 ,01/02/2022 ,0,11940.0,11969.0
32412,A19027,01/02/2022 ,01/02/2022 ,01/02/2022 ,0,11945.0,11969.0
32413,a10144,01/02/2022 ,01/02/2022 ,01/02/2022 ,0,20915.0,20967.0
32414,A17008,01/02/2022 ,01/04/2022 ,01/04/2022 ,0,5002.0,5150.0
32415,A19411,01/02/2022 ,01/04/2022 ,01/04/2022 ,0,5354.0,5434.0
32416,d61628,01/02/2022 ,01/02/2022 ,01/03/2022 ,1,0.0,0.0
32424,A15646,01/02/2022 ,01/08/2022 ,01/08/2022 ,0,7285.0,7297.0
32427,A20185,01/02/2022 ,01/08/2022 ,01/08/2022 ,0,38.0,56.0
32428,a09539,01/02/2022 ,02/17/2022 ,02/17/2022 ,0,16175.0,16268.0
32429,a17492,01/02/2022 ,01/02/2022 ,01/04/2022 ,2,4717.0,4762.0
32430,A18520,01/02/2022 ,01/10/2022 ,01/10/2022 ,0,1774.0,1784.0
32431,A15642,01/02/2022 ,01/10/2022 ,01/10/2022 ,0,7793.0,7808.0
32433,A19229,01/02/2022 ,01/10/2022 ,01/10/2022 ,0,7238.0,7298.0
32434,d61628,01/02/2022 ,01/08/2022 ,01/08/2022 ,0,0.0,0.0
32435,D 56948,01/02/2022 ,01/07/2022 ,01/07/2022 ,0,0.0,0.0
32436,d61628,01/02/2022 ,01/07/2022 ,01/07/2022 ,0,0.0,0.0
32437,d73951,01/02/2022 ,01/07/2022 ,01/07/2022 ,0,0.0,0.0
32441,A19410,01/03/2022 ,01/16/2022 ,01/16/2022 ,0,5853.0,5869.0
32442,A19417,01/03/2022 ,01/16/2022 ,01/16/2022 ,0,7407.0,7418.0
